"x" "y" "chlorophyll" "zone" "depth"
"1" 520509.4 5093139.726 1.53852875380838 "Bellagio" 0.237929342506146
"2" 519929.689 5093835.378 1.60996587817059 "Bellagio" 0.252774292421107
"3" 520045.631 5093661.465 1.66249177326352 "Bellagio" 0.260844411766831
"4" 520683.313 5093023.784 1.42533135731509 "Bellagio" 0.226543022973707
"5" 522190.559 5096270.161 1.64717039760824 "Varenna" 0.25429124688811
"6" 520625.342 5094299.146 1.66321287692411 "Bellagio" 0.255060558921576
"7" 521552.878 5093139.726 1.60364308783211 "Pino" 0.244252600398654
"8" 521378.965 5094241.175 1.5882511956584 "Pino" 0.244533681442158
"9" 520857.226 5096444.074 1.53815214601542 "Varenna" 0.244355480009067
"10" 520335.486 5093023.784 1.55000584783398 "Bellagio" 0.241099621709559
"11" 521320.994 5093255.668 1.5811591323607 "Pino" 0.245228073002465
"12" 521436.936 5093893.349 1.53316960147774 "Pino" 0.240016135551403
"13" 522016.646 5095980.306 1.50046700384956 "Varenna" 0.24223746105362
"14" 520045.631 5093893.349 1.60559309630801 "Bellagio" 0.250644588172763
"15" 518944.182 5094241.175 1.71794454819903 "Griante" 0.259594940589708
"16" 519234.037 5095574.509 1.63811741145435 "Menaggio" 0.248897145056092
"17" 520277.515 5093023.784 1.56443297207679 "Bellagio" 0.244889904941934
"18" 520741.284 5094820.886 1.49124638970018 "Varenna" 0.240888045833702
"19" 520915.197 5096560.016 1.50889816992724 "Varenna" 0.241628283197311
"20" 521726.791 5093719.436 1.83363622322891 "Pino" 0.274158351784893
"21" 522016.646 5092617.987 1.65520520135362 "Pino" 0.25134088220152
"22" 519407.95 5095110.741 1.62268738128184 "Menaggio" 0.245093141033091
"23" 520625.342 5093893.349 1.5701175945858 "Bellagio" 0.245594521276468
"24" 519407.95 5096328.132 1.6525580316091 "Menaggio" 0.254595894410059
"25" 520277.515 5092849.871 1.55322966649198 "Bellagio" 0.243062797530625
"26" 522248.53 5093429.581 1.52013321656323 "Pino" 0.235517950896135
"27" 518364.472 5096212.19 1.70749550260122 "Menaggio" 0.255747557209007
"28" 522364.472 5094009.291 1.50737440561992 "Pino" 0.239763442770361
"29" 522364.472 5093661.465 1.6025132123149 "Pino" 0.249848616996358
"30" 520103.602 5095980.306 1.54399267844603 "Menaggio" 0.240640513988316
"31" 521958.675 5093313.639 1.74342090080723 "Pino" 0.261022975462003
"32" 519465.921 5094994.799 1.55861934261848 "Menaggio" 0.245244069211309
"33" 518538.385 5095632.48 1.59248082072022 "Menaggio" 0.242905599624875
"34" 519349.979 5095632.48 1.61829446898905 "Menaggio" 0.244987419394052
"35" 522016.646 5093719.436 1.51006657466131 "Pino" 0.233709065309213
"36" 518364.472 5092733.929 1.55531104911916 "Griante" 0.238323807379058
"37" 520567.371 5095400.596 1.40858307227626 "Varenna" 0.228199603510513
"38" 522306.501 5093835.378 1.52367409543471 "Pino" 0.236590068079
"39" 520045.631 5095806.393 1.60051678412638 "Menaggio" 0.247057061412363
"40" 521089.11 5094473.059 1.61120626931175 "Pino" 0.245341024595939
"41" 519292.008 5095806.393 1.7500010434302 "Menaggio" 0.264494962652871
"42" 519060.124 5096328.132 1.58334061925807 "Menaggio" 0.239313572763254
"43" 519292.008 5096617.987 1.61353647600335 "Menaggio" 0.241446353662625
"44" 521378.965 5092675.958 1.5734018596954 "Pino" 0.247193769980425
"45" 520277.515 5093835.378 1.53688317929012 "Bellagio" 0.240056599237043
"46" 520625.342 5096560.016 1.50134747210701 "Varenna" 0.24031485682128
"47" 521958.675 5094299.146 1.51709972039408 "Pino" 0.238926818073582
"48" 519929.689 5093719.436 1.51845974358937 "Bellagio" 0.237480141143611
"49" 519929.689 5096212.19 1.64260171460961 "Menaggio" 0.244761718810126
"50" 520103.602 5093371.61 1.52399493821729 "Bellagio" 0.245031500427333
"51" 520509.4 5094067.262 1.44510634075215 "Bellagio" 0.23193968743198
"52" 521958.675 5095226.683 1.52733035159571 "Varenna" 0.244179240753107
"53" 521784.762 5096038.277 1.4715193241154 "Varenna" 0.238911103755732
"54" 521668.82 5094009.291 1.51152643413031 "Pino" 0.23985037990508
"55" 519813.747 5093371.61 1.58428547074553 "Bellagio" 0.248376904764432
"56" 521147.081 5093777.407 1.6866777712668 "Pino" 0.255630558189945
"57" 521031.139 5092617.987 1.78143489530334 "Pino" 0.266478174728151
"58" 519176.066 5095748.422 1.56938731673788 "Menaggio" 0.242266465760563
"59" 518712.298 5095690.451 1.75213204569796 "Menaggio" 0.266059096288573
"60" 519349.979 5093255.668 1.60954685269914 "Griante" 0.238421914523056
"61" 521958.675 5093429.581 1.69219271966717 "Pino" 0.256565884643328
"62" 521320.994 5093719.436 1.81062291514605 "Pino" 0.275489910707179
"63" 518654.327 5092907.842 1.62247546454093 "Griante" 0.249652396101962
"64" 520799.255 5094820.886 1.52576352747277 "Varenna" 0.24330366420338
"65" 518654.327 5096444.074 1.68401846685534 "Menaggio" 0.24992395244289
"66" 518944.182 5095226.683 1.80897015714442 "Menaggio" 0.267770844481434
"67" 518712.298 5096617.987 1.54979324327734 "Menaggio" 0.238613922632491
"68" 518364.472 5094473.059 1.70036953223297 "Griante" 0.263678271794233
"69" 520045.631 5095052.77 1.72510618284234 "Menaggio" 0.263295647907824
"70" 522306.501 5096560.016 1.6152215057377 "Varenna" 0.253364727972038
"71" 518712.298 5092733.929 1.60329945665937 "Griante" 0.25006892838442
"72" 520741.284 5095980.306 1.55862589058531 "Varenna" 0.245445312618386
"73" 518944.182 5092965.813 1.63039319881068 "Griante" 0.246334760671261
"74" 522190.559 5093719.436 1.69197007740495 "Pino" 0.256482865675031
"75" 521726.791 5093661.465 1.78601889944203 "Pino" 0.270702708613309
"76" 519813.747 5094704.944 1.62878394259864 "Menaggio" 0.24846601587533
"77" 521147.081 5093139.726 1.5361460138396 "Pino" 0.236092990532985
"78" 520973.168 5096386.103 1.53211741266415 "Varenna" 0.242764182228898
"79" 519929.689 5094762.915 1.66555845569625 "Menaggio" 0.252582617621679
"80" 520567.371 5095284.654 1.56410661232532 "Varenna" 0.246829408850388
"81" 522306.501 5094183.204 1.57931433801739 "Pino" 0.248222100423357
"82" 522364.472 5095980.306 1.55783649018332 "Varenna" 0.248300059231455
"83" 519929.689 5094704.944 1.53996618209291 "Menaggio" 0.236276981141233
"84" 521842.733 5095574.509 1.53675200816636 "Varenna" 0.24826212829586
"85" 520509.4 5092791.9 1.66182610429643 "Bellagio" 0.258502322571219
"86" 520161.573 5093777.407 1.63337933838741 "Bellagio" 0.256976087116683
"87" 518886.211 5095168.712 1.67943862486549 "Menaggio" 0.255499973510911
"88" 521378.965 5094820.886 1.55118114778884 "Varenna" 0.245972680245524
"89" 521320.994 5094009.291 1.64607905205633 "Pino" 0.248084062295215
"90" 521610.849 5095400.596 1.50769645497722 "Varenna" 0.238054721203975
"91" 518364.472 5095226.683 1.59650191212791 "Menaggio" 0.249468411812567
"92" 522074.617 5093429.581 1.6101882849169 "Pino" 0.252551960009958
"93" 519755.776 5096154.219 1.76003612407667 "Menaggio" 0.267059640072401
"94" 521436.936 5096212.19 1.63489953987467 "Varenna" 0.260015132523635
"95" 520451.429 5094589.001 1.55938992678718 "Bellagio" 0.245044165569985
"96" 522132.588 5094125.233 1.65921485711719 "Pino" 0.253555502969998
"97" 521668.82 5093081.755 1.54465298157717 "Pino" 0.238653919564662
"98" 519002.153 5095574.509 1.68945409555508 "Menaggio" 0.258782036269523
"99" 519755.776 5095864.364 1.73045758003687 "Menaggio" 0.259729167533761
"100" 521784.762 5093313.639 1.77563236774539 "Pino" 0.271211171053757
"101" 522306.501 5096038.277 1.61567531102554 "Varenna" 0.25414523534375
"102" 519118.095 5095110.741 1.59058493801896 "Menaggio" 0.245252815264706
"103" 520567.371 5096270.161 1.55863555797525 "Varenna" 0.250659934937045
"104" 520741.284 5094936.828 1.52210021226787 "Varenna" 0.244975222176061
"105" 518596.356 5094936.828 1.57473892949896 "Menaggio" 0.241740014128707
"106" 519639.834 5095458.567 1.63871301951513 "Menaggio" 0.25166989279753
"107" 520335.486 5095922.335 1.5618689765653 "Menaggio" 0.241037353737552
"108" 521089.11 5092791.9 1.6721624889164 "Pino" 0.251681853876558
"109" 520915.197 5096212.19 1.57430866552353 "Varenna" 0.253549682610149
"110" 519755.776 5095284.654 1.63848093976833 "Menaggio" 0.249478948831289
"111" 520973.168 5095632.48 1.54529094954369 "Varenna" 0.248040653812837
"112" 521842.733 5096617.987 1.56070581457698 "Varenna" 0.243509302483942
"113" 522306.501 5093661.465 1.54611604248731 "Pino" 0.238902327686013
"114" 520509.4 5096560.016 1.63998161114654 "Varenna" 0.258492742026551
"115" 518364.472 5093255.668 1.58185968323192 "Griante" 0.25022362526076
"116" 518654.327 5093197.697 1.70831804007423 "Griante" 0.258311406173068
"117" 519697.805 5095516.538 1.57396723468284 "Menaggio" 0.237557121486558
"118" 522248.53 5094646.973 1.59546302697988 "Varenna" 0.251690264137662
"119" 519002.153 5093255.668 1.6948699667973 "Griante" 0.256731663069477
"120" 519060.124 5094820.886 1.63891809530002 "Menaggio" 0.249737236235515
"121" 520973.168 5095400.596 1.55243163330571 "Varenna" 0.24808607831444
"122" 522248.53 5094125.233 1.56270558633972 "Pino" 0.242180933533001
"123" 521726.791 5094009.291 1.81111073392448 "Pino" 0.270581619877635
"124" 520103.602 5095226.683 1.69587643252035 "Menaggio" 0.257505014531558
"125" 520451.429 5094067.262 1.76017430769066 "Bellagio" 0.268242083023783
"126" 520683.313 5093777.407 1.60926315809419 "Bellagio" 0.25080059641092
"127" 519813.747 5096502.045 1.62843312611118 "Menaggio" 0.243685907010336
"128" 520335.486 5096386.103 1.50879221453113 "Menaggio" 0.234867118799663
"129" 518654.327 5095864.364 1.60648133620228 "Menaggio" 0.243639001689149
"130" 521552.878 5092849.871 1.6722211997795 "Pino" 0.252263015324972
"131" 521668.82 5094415.088 1.70307536090214 "Pino" 0.260136903474658
"132" 519176.066 5094589.001 1.6638387539062 "Griante" 0.252527501350663
"133" 519002.153 5094357.117 1.59768637031314 "Griante" 0.238280516871589
"134" 522074.617 5094994.799 1.64283962058679 "Varenna" 0.25668714328525
"135" 519581.863 5094415.088 1.50262492366289 "Griante" 0.233498990651556
"136" 520509.4 5093835.378 1.5989197663979 "Bellagio" 0.246341477518081
"137" 520799.255 5095632.48 1.56827717128493 "Varenna" 0.246838816711669
"138" 521147.081 5096096.248 1.45876759239831 "Varenna" 0.230517539526786
"139" 522016.646 5093139.726 1.67055289902153 "Pino" 0.259200575223909
"140" 519292.008 5093139.726 1.59186712416031 "Griante" 0.243771284051211
"141" 521320.994 5093429.581 1.6373958360924 "Pino" 0.246659633500025
"142" 519465.921 5093313.639 1.73591858571594 "Griante" 0.263951478925296
