"Achiev" "ESCS" "Gender" "Bilingual" "IDSchool"
"1" -11.6928198964255 -1.48056759491936 "0" "0" "1"
"2" -10.3855941081698 1.57716947155863 "1" "0" "1"
"3" -12.5885681561097 -0.956744479084269 "0" "0" "1"
"4" -13.6354568132741 -0.920005247558641 "1" "0" "1"
"5" -13.9463489512076 -1.99764209693134 "0" "0" "1"
"6" -12.8671099643502 -0.27229604424923 "0" "0" "1"
"7" -15.8863844355732 -0.315348711467784 "1" "0" "1"
"8" -14.7792780270864 -0.628255236517538 "1" "0" "1"
"9" -10.885305684231 -0.106463884872094 "0" "0" "1"
"10" -10.8728795126119 0.428014802202354 "1" "1" "1"
"11" -10.1206376173671 -0.777719582147445 "0" "0" "1"
"12" -12.0088039979572 -1.29388229761362 "1" "0" "1"
"13" -14.4905276186378 -0.779566508059429 "0" "0" "1"
"14" -8.73887896451074 0.0119517585652984 "0" "0" "1"
"15" -14.2175562578957 -0.152416237822168 "1" "0" "1"
"16" -14.4526563844444 -0.703464254478642 "0" "0" "1"
"17" -8.97620531980474 1.18887915627567 "0" "0" "1"
"18" -11.9966505342023 0.340512270849188 "0" "0" "1"
"19" -9.2267032747059 0.506968172259166 "1" "0" "1"
"20" -12.1116842093781 -0.293305149081411 "0" "0" "1"
"21" -10.3646419488277 0.223641415376273 "0" "0" "1"
"22" -7.79693205068063 2.00720145694544 "0" "0" "1"
"23" -6.66760433343352 1.01197911806715 "0" "0" "1"
"24" -12.5770077926676 -0.302459245168265 "0" "0" "1"
"25" -18.2277862532028 -1.02524483901366 "0" "0" "1"
"26" -16.0275502822573 -0.267384829994282 "0" "0" "1"
"27" -11.3869399960369 -0.199105661114762 "0" "0" "1"
"28" -11.331427731205 0.131122595424375 "1" "0" "1"
"29" -12.8863495938388 0.145799895543701 "1" "0" "1"
"30" -7.52947815745128 0.362064721117229 "0" "0" "1"
"31" -13.4634430549707 0.673981163800475 "1" "0" "1"
"32" -8.99347685259762 2.07203576815057 "1" "0" "1"
"33" -12.7012225626196 -0.541028649061476 "1" "0" "1"
