"ID_prov" "ID_reg" "transport_index" "avg_cultural_events" "avg_air_quality" "gentrified" "avg_household_income" "avg_crime_rate" "avg_property_value"
"AG" 19 1.00831674648733 1.06505991724545 0.55780377859393 "No" 0.611509123235264 1.20110505614011 25.790959138962
"AL" 1 0.508708830570392 -0.622742646179616 0.291396754685434 "No" 0.394122349433395 0.0546230993876086 13.7530291059559
"AN" 11 -0.0526445502901967 -1.18916654951976 0.61911623989568 "No" -1.50802266038163 0.334513952446255 6.81572466256784
"AO" 2 -0.154762114223004 -1.34217941459404 0.426244257118842 "No" 0.137942163190979 -2.28732861005688 16.7856350202063
"AR" 9 1.17976285463154 1.03558983276111 -0.798224642586461 "No" -1.51098111973219 2.38983330031363 8.64620498638806
"AP" 11 1.31044962352117 -0.759709757659223 1.03593127174096 "Yes" 0.918820240702648 0.874611213020202 28.4417215892381
"AT" 1 0.572887927641492 -0.0988174281817784 -0.859006276063478 "Yes" 1.02988672970353 0.31400066134376 22.5147640824182
"AV" 15 -0.0712010781555538 -0.684954465922457 1.49099412891906 "No" 0.259101638701409 -0.711097735227484 20.7803713481144
"BA" 16 -1.13985228197377 -1.87020300292972 0.00160213922161697 "No" 2.87167512506822 1.66116252950614 1.71442171434022
"BT" 16 -1.0390806784796 1.80253596828761 -0.225913057331173 "No" 0.0820274896905893 0.971376005266714 21.4367398363539
"BL" 5 -1.57501569461785 0.450638885413157 -0.116714589370345 "No" -0.00826309149422391 0.277698070861921 11.5919825060538
"BN" 15 0.508906325866489 -0.330789940888611 0.116416225835689 "No" -1.38018486276216 -0.445967504386136 15.5090821418606
"BG" 3 0.862519593148047 0.821562759109744 -0.238075400329744 "Yes" -2.16985874605976 -1.900174431067 34.8047114368549
"BI" 1 0.337686749184468 -0.331259587747372 0.356828009076975 "Yes" 0.0938976682057681 0.503448361330711 23.1013755037796
"BO" 8 -3.134772773779 -0.393500626247947 -0.42548052734397 "No" 0.343277539112624 0.412583971297184 2.72192336731184
"BZ" 4 -0.0917167386194423 -1.35231344420518 0.528553195871951 "No" 2.32039473281925 0.212058037661116 16.9177061618187
"BS" 3 -0.852757406887855 -0.264416517345257 1.32864838973364 "No" 2.1090170854738 -0.12993833898734 23.5824531731509
"BR" 16 0.494593687768418 -0.769974623486477 0.594074570731119 "Yes" -1.24706027766514 0.408083812405602 18.1240018022866
"CA" 20 -1.51094788059944 -0.0420648135857994 -0.38589393680378 "No" -0.211267566168199 0.241105466485218 9.22273408217241
"CL" 19 -1.90553411025735 -1.12597874759306 -0.553467987558031 "No" 0.579643034209748 -0.582793276945015 5.43707585595646
"CB" 14 1.16212285823839 -1.14397016870906 -0.180471781839472 "No" -1.35337997917873 0.518359249740113 1.39409249954744
"CE" 15 0.359765042118954 -0.6299245005403 -0.0499575951525758 "No" 0.437913966036901 -0.736702387013187 14.7166305580648
"CT" 19 1.06741909412068 0.440451049447235 -0.215012945844177 "Yes" -0.270051366709985 0.479225914614592 23.2346685813005
"CZ" 18 -0.154863668004213 -1.02438552936158 -0.70972835391039 "No" 0.495657097950048 -0.539837590412737 3.81646511054673
"CH" 13 0.438998269435202 0.0608630122491415 -0.0600282790011227 "No" -0.716141311369324 -0.384347588053393 14.4904197580824
"CO" 3 -1.45015369312721 -0.70928257368906 -1.14857373657109 "No" -0.790997607541218 -0.557338503531618 4.39601003590784
"CS" 18 -0.0626009668726635 -0.0343073864472384 0.0924930392662932 "Yes" -0.903339493037961 0.440762691529528 14.173021352743
"CR" 3 0.718949103137002 1.59212600581151 1.04913956980751 "No" -0.722747204120958 0.471083734667834 25.5987707005335
"KR" 18 -1.94860854987368 -0.899337142846302 1.34819928418111 "No" 0.313269017547055 0.471260721903401 10.9634822944104
"CN" 1 -0.0540586000196125 -1.25112894530927 1.09564035346179 "No" -0.0185731073898313 -0.960258785232429 17.4995515796976
"EN" 19 -1.34905624659921 0.44882835170613 -1.1414983418366 "Yes" -0.885102692770815 -0.568215030921801 20.2072691001942
