"carbon_footprint" "purchases" "heating" "flights" "IDCity"
"1" 7.69044454445131 0.981969411350441 "0" "0" "1"
"2" 7.88106162861658 0.468715040036087 "0" "0" "1"
"3" 3.61758982173973 -0.107971332216443 "1" "0" "1"
"4" 6.43779544993458 -0.212878168971207 "0" "0" "1"
"5" 5.14407726333707 1.15809845503933 "1" "0" "1"
"6" 9.29684049893138 1.29235484543788 "0" "0" "1"
"7" 7.99909597116357 0.534647146132313 "0" "0" "1"
"8" 3.62973400599167 -0.12703471920428 "1" "0" "1"
"9" 2.95787550179171 -1.22487541446907 "0" "0" "1"
"10" 5.86690457653886 -1.12135130216029 "0" "0" "1"
"11" 6.12422385793648 -1.6719250240929 "1" "0" "1"
"12" 7.85952800576024 0.468917929783841 "0" "0" "1"
"13" 8.2800154355089 0.832189906477626 "0" "0" "1"
"14" 4.41680385175462 0.293021605112214 "1" "0" "1"
"15" 20.3821054802139 -3.27428582255762 "0" "0" "1"
"16" 3.57967550814493 -0.14811075118461 "1" "0" "1"
"17" 6.23179469598938 -0.929938735274633 "0" "0" "1"
"18" 4.61534667656682 0.454214351568125 "1" "0" "1"
"19" 4.14037287788224 -1.60610724067137 "1" "0" "1"
"20" -2.4074791785848 -2.01147132874967 "0" "0" "1"
"21" 7.72597856890907 1.13997663396662 "0" "0" "1"
"22" 4.46382147720833 0.315702951821837 "1" "0" "1"
"23" 18.3658524185999 1.04268610000034 "0" "1" "1"
"24" 6.47734161126337 -0.21298249662589 "0" "0" "1"
"25" 4.55735247948299 0.397100381641922 "1" "0" "1"
"26" 3.86168096955285 -1.54365250071121 "0" "0" "1"
"27" 6.60784377448925 -0.118199701645296 "0" "0" "1"
"28" 5.47298408108424 0.684697884749606 "1" "0" "1"
"29" -7.12664507423298 -2.0557223178166 "0" "0" "1"
"30" 16.6386627805169 -0.109424005766554 "0" "1" "1"
"31" 4.11819857637282 -1.43979364518451 "0" "0" "1"
"32" 6.08125837993549 -0.325334972728149 "0" "0" "1"
"33" 5.84706151723573 -0.505280887892707 "0" "0" "1"
"34" 6.95473985860988 1.20424903908767 "1" "0" "1"
"35" 2.63390812827959 -0.498978898504543 "1" "0" "1"
"36" 4.90139319688604 0.389595481706078 "1" "0" "1"
"37" 4.41362296364672 0.337331874863737 "1" "0" "1"
"38" 5.98876420100917 -0.489261550050225 "0" "0" "1"
"39" 5.15442387364826 -0.570771060692166 "0" "0" "1"
"40" 7.90490807039671 0.428364064176291 "0" "0" "1"
"41" 2.39475315185004 -0.872461837206139 "1" "0" "1"
"42" 3.83890861783374 -0.00469101335874222 "1" "0" "1"
"43" 4.79243255732924 0.495375148980223 "1" "0" "1"
"44" 11.2914858872035 1.97281867936945 "0" "0" "1"
"45" 11.4718764764946 -1.19686212395264 "1" "1" "1"
"46" 7.07777481251236 0.130438481116839 "0" "0" "1"
"47" 7.38230262975939 0.329059640185992 "0" "0" "1"
"48" 8.71842910016724 0.668158301618999 "0" "0" "1"
"49" 8.18865699389526 0.638992957371085 "0" "0" "1"
"50" 12.4157712586227 1.94045129634858 "1" "0" "1"
"51" 2.78672008710091 -0.554539064732427 "1" "0" "1"
"52" 4.7400343407829 -0.765711059036804 "0" "0" "1"
"53" 4.94831104792756 -0.646694361310387 "0" "0" "1"
"54" 1.11123401487292 -1.02753085374284 "1" "0" "1"
"55" 4.79128507924561 -0.680898071460814 "0" "0" "1"
"56" 4.48586853229621 -1.43361066132337 "0" "0" "1"
"57" 10.8598250912707 0.895493512495098 "0" "0" "1"
"58" 6.35178316844247 -0.239061270484789 "0" "0" "1"
"59" 10.1848228838996 1.00040381287092 "0" "0" "1"
"60" 6.7838425359627 -0.0325899798361486 "0" "0" "1"
